quartil,periodo,grupo_origem,alvo,peso,n,pct_da_origem
Todos,pos,0,Desocupado,42774.79299609,84,0.7105941660142051
Todos,pos,0,Fora da força de trabalho,139969.6496021,310,2.3252389891260594
Todos,pos,0,G0,5478130.44005156,10967,91.00517521432072
Todos,pos,0,G1,13277.06865312,29,0.22056465656162405
Todos,pos,0,G2,64011.95105469,103,1.0633954202608866
Todos,pos,0,G3,48109.42486473,100,0.7992154781976574
Todos,pos,0,G4,32314.28184334,75,0.5368194337939899
Todos,pos,0,G5,127510.60618648,243,2.1182637369941197
Todos,pos,0,G6,2809.89575147,12,0.04667925636215701
Todos,pos,0,G7,22847.37341351,41,0.3795508784314235
Todos,pos,0,G8,28519.507301370002,57,0.4737789264767576
Todos,pos,0,G9,19306.23226177,37,0.3207238434604003
Todos,pos,1,Desocupado,199398.97456377,331,0.7995229274307886
Todos,pos,1,Fora da força de trabalho,479318.93341131,970,1.9219079619261217
Todos,pos,1,G0,9900.09087171,28,0.03969603982616766
Todos,pos,1,G1,13882055.63555849,24252,55.662381337619216
Todos,pos,1,G2,2647123.7307953,4352,10.61407722455518
Todos,pos,1,G3,1883160.1562147,3267,7.550839838628563
Todos,pos,1,G4,1415975.513261,2688,5.67758630659702
Todos,pos,1,G5,2846519.20965549,5431,11.413586135388512
Todos,pos,1,G6,176761.38781021,617,0.7087538065224641
Todos,pos,1,G7,734951.88584724,1329,2.946910256579276
Todos,pos,1,G8,344515.4211988,645,1.3813911465920021
Todos,pos,1,G9,320063.46620693,633,1.2833470183346949
Todos,pos,2,Desocupado,1097246.61007617,2017,1.1652705038385138
Todos,pos,2,Fora da força de trabalho,2482628.86363623,5149,2.6365396440574123
Todos,pos,2,G0,73907.92601193,130,0.07848985395872193
Todos,pos,2,G1,2698433.0986120002,4530,2.86572268031509
Todos,pos,2,G2,76396474.95022266,141059,81.13268069295059
Todos,pos,2,G3,4455378.03844499,7543,4.731589566077073
Todos,pos,2,G4,2473615.69786681,4610,2.6269677063354235
