cod,peso,n,nome,grande_grupo,nome_grande_grupo,pct_do_total
4110,61401435.754621,114986,Escriturários gerais,4,Apoio administrativo,4.186224715563146
9111,57972295.90373865,128764,Trabalhadores dos serviços domésticos em geral,9,Ocupações elementares,3.952432951242621
5223,50603061.57937191,91654,Balconistas e vendedores de lojas,5,"Serviços, vendedores do comércio e mercados",3.450013578074809
5221,50172829.2210651,104270,Comerciantes de lojas,5,"Serviços, vendedores do comércio e mercados",3.4206812129656843
7112,39715249.38966444,80053,Pedreiros,7,"Operários, artesãos da construção e ofícios mecânicos",2.707704739090814
9112,39276282.53428874,81966,"Trabalhadores de limpeza de interior de edifícios, escritórios, hotéis e outros estabelecimentos",9,Ocupações elementares,2.677776873777852
6111,37553906.16990911,136942,"Agricultores e trabalhadores qualificados em atividades da agricultura (exclusive hortas, viveiros e jardins)",6,"Qualificados da agropecuária, florestais, caça e pesca",2.560348764525127
8322,29379115.77700819,53485,"Condutores de automóveis, taxis e caminhonetes",8,Operadores de instalações e máquinas e montadores,2.003008220827262
8332,28987174.65296837,54671,Condutores de caminhões pesados,8,Operadores de instalações e máquinas e montadores,1.9762864740091899
2341,26501239.22537983,59229,Professores do ensino fundamental,2,Profissionais das ciências e intelectuais,1.8068004644335591
6121,21783131.89155659,97591,Criadores de gado e trabalhadores qualificados da criação de gado,6,"Qualificados da agropecuária, florestais, caça e pesca",1.4851295248408454
5120,21681624.26441825,46826,Cozinheiros,5,"Serviços, vendedores do comércio e mercados",1.478208941758019
9313,20835018.08743701,41369,Trabalhadores elementares da construção de edifícios,9,Ocupações elementares,1.4204890585196117
5414,20775597.09715032,41376,Guardas de segurança,5,"Serviços, vendedores do comércio e mercados",1.4164378565386764
7231,18897703.9012415,36083,Mecânicos e reparadores de veículos a motor,7,"Operários, artesãos da construção e ofícios mecânicos",1.2884069267519942
5243,18633135.04492478,37448,Vendedores a domicilio,5,"Serviços, vendedores do comércio e mercados",1.2703691614836474
5142,18281145.95748595,32252,Especialistas em tratamento de beleza e afins,5,"Serviços, vendedores do comércio e mercados",1.2463712630740154
9211,18153853.97976628,54763,Trabalhadores elementares da agricultura,9,Ocupações elementares,1.237692755533043
3221,18056341.29536754,34105,Profissionais de nível médio de enfermagem,3,Técnicos e profissionais de nível médio,1.2310445395020329
5141,17023438.42421918,31023,Cabeleireiros,5,"Serviços, vendedores do comércio e mercados",1.1606233274434534
