cod,peso,n,nome,grande_grupo,nome_grande_grupo,pct_do_total
9111,87361969.889303,195728,Trabalhadores dos serviços domésticos em geral,9,Ocupações elementares,4.366109552747069
4110,80127327.54617046,149740,Escriturários gerais,4,Apoio administrativo,4.00454214435319
5223,72369763.77910337,131590,Balconistas e vendedores de lojas,5,"Serviços, vendedores do comércio e mercados",3.6168405699455435
5221,64825247.11431997,135152,Comerciantes de lojas,5,"Serviços, vendedores do comércio e mercados",3.2397865002775976
7112,57130980.96929009,115744,Pedreiros,7,"Operários, artesãos da construção e ofícios mecânicos",2.85524836589532
9112,53699305.53970984,111606,"Trabalhadores de limpeza de interior de edifícios, escritórios, hotéis e outros estabelecimentos",9,Ocupações elementares,2.6837427222611057
6111,52749396.67976306,192010,"Agricultores e trabalhadores qualificados em atividades da agricultura (exclusive hortas, viveiros e jardins)",6,"Qualificados da agropecuária, florestais, caça e pesca",2.6362689055316073
8322,40339713.76681133,72855,"Condutores de automóveis, taxis e caminhonetes",8,Operadores de instalações e máquinas e montadores,2.0160672871219596
8332,37285074.11235433,70323,Condutores de caminhões pesados,8,Operadores de instalações e máquinas e montadores,1.8634048483923387
9313,35241722.62471031,71004,Trabalhadores elementares da construção de edifícios,9,Ocupações elementares,1.7612837943326947
2341,32285710.50500113,72371,Professores do ensino fundamental,2,Profissionais das ciências e intelectuais,1.6135504869192745
5120,30762616.53484511,65872,Cozinheiros,5,"Serviços, vendedores do comércio e mercados",1.5374304641993666
9211,29150274.29610737,88832,Trabalhadores elementares da agricultura,9,Ocupações elementares,1.456850059936843
5243,27971792.30521885,57043,Vendedores a domicilio,5,"Serviços, vendedores do comércio e mercados",1.3979527905108158
6121,27704375.27910636,124059,Criadores de gado e trabalhadores qualificados da criação de gado,6,"Qualificados da agropecuária, florestais, caça e pesca",1.3845880274021496
5414,27510223.65038792,54438,Guardas de segurança,5,"Serviços, vendedores do comércio e mercados",1.3748848661535757
5142,26234743.93154007,46522,Especialistas em tratamento de beleza e afins,5,"Serviços, vendedores do comércio e mercados",1.311139918645488
7231,25488702.68564127,48970,Mecânicos e reparadores de veículos a motor,7,"Operários, artesãos da construção e ofícios mecânicos",1.2738548412303448
5141,23553807.43972602,42791,Cabeleireiros,5,"Serviços, vendedores do comércio e mercados",1.1771541300689556
3221,23231728.19622186,43887,Profissionais de nível médio de enfermagem,3,Técnicos e profissionais de nível médio,1.161057500567733
