quartil,direcao,pre,pos,n_pre,n_pos,dif_pp,delta_aioe_medio_pre,delta_aioe_medio_pos
Q1,mais_exposta,50.966822013776614,51.57773296137047,60894,90629,0.6109109475938581,0.6708407604265487,0.6610589447005346
Q1,menos_exposta,0.0,0.0,60894,90629,0.0,0.6708407604265487,0.6610589447005346
Q1,mesmo_quartil,49.033177986223386,48.42226703862952,60894,90629,-0.6109109475938652,0.6708407604265487,0.6610589447005346
Q2,mais_exposta,41.17329552244263,41.71693229744853,35800,58118,0.5436367750059006,0.29817149212470895,0.3018225570956964
Q2,menos_exposta,28.590020254307174,27.8098133544487,35800,58118,-0.7802068998584737,0.29817149212470895,0.3018225570956964
Q2,mesmo_quartil,30.236684223250197,30.473254348102785,35800,58118,0.23657012485258733,0.29817149212470895,0.3018225570956964
Q3,mais_exposta,30.811906540727485,31.315375315647913,39891,65845,0.5034687749204281,-0.19060719040890223,-0.17022983867771527
Q3,menos_exposta,43.71214449197572,42.92198567196016,39891,65845,-0.7901588200155629,-0.19060719040890223,-0.17022983867771527
Q3,mesmo_quartil,25.475948967296798,25.76263901239193,39891,65845,0.2866900450951313,-0.19060719040890223,-0.17022983867771527
Q4,mais_exposta,0.0,0.0,48226,78559,0.0,-0.6741010014495044,-0.6436269785700469
Q4,menos_exposta,45.612876047795964,44.05278105184723,48226,78559,-1.560094995948738,-0.6741010014495044,-0.6436269785700469
Q4,mesmo_quartil,54.38712395220404,55.947218948152766,48226,78559,1.5600949959487238,-0.6741010014495044,-0.6436269785700469
Todos,mais_exposta,29.401804482419923,29.43331602789248,184811,293151,0.031511545472557856,0.002682409373114005,0.0019645949104887942
Todos,menos_exposta,29.235167413416757,29.063272203961766,184811,293151,-0.17189520945499126,0.002682409373114005,0.0019645949104887942
Todos,mesmo_quartil,41.36302810416332,41.503411768145746,184811,293151,0.1403836639824263,0.002682409373114005,0.0019645949104887942
