trimestre_origem,muda_grupo_Q1,muda_grupo_Q4,sai_emprego_Q1,sai_emprego_Q4,n_Q1,n_Q4,dif_muda_grupo_Q4_Q1,dif_sai_emprego_Q4_Q1,periodo
2019T1,18.319092730001547,23.859644116358677,11.790860781313405,6.169479463059578,50775,30822,5.54055138635713,-5.621381318253827,pre
2019T2,17.83956035817774,23.473934643906603,12.366824164559105,5.7786275285134785,51589,31199,5.634374285728864,-6.588196636045627,pre
2019T3,18.212470219925503,23.42503006426913,11.92107892952414,5.871048252390071,52236,32016,5.212559844343627,-6.05003067713407,pre
2019T4,17.701094034298137,23.3461061235565,13.118743082301812,7.11974091931252,49568,30790,5.645012089258362,-5.999002162989292,pre
2020T1,8.171198719623506,12.425703929524618,15.64248420297813,8.031560794111792,38695,26684,4.254505209901112,-7.610923408866338,atipico
2020T2,8.243962794222549,11.072531173087237,10.221136370959885,6.473090688970177,29476,21191,2.828568378864688,-3.7480456819897077,atipico
2020T3,8.151274446222182,11.067468231722208,6.764024852818444,3.5786439477016008,29373,19954,2.9161937855000257,-3.1853809051168436,atipico
2020T4,8.529022814570496,11.103659570288656,7.447330385335428,4.682169741893682,26671,18088,2.57463675571816,-2.765160643441746,atipico
2021T1,8.101922692647356,11.893872905576915,6.932323858541399,3.669911278944773,25407,16970,3.7919502129295584,-3.262412579596626,atipico
2021T2,8.82850941840199,12.723064489989802,5.721985957822732,2.9812811054148876,31164,19478,3.8945550715878117,-2.740704852407845,atipico
2021T3,8.87489814289824,13.393334247576021,6.5865895443372136,2.9979494030656686,37595,22158,4.518436104677781,-3.588640141271545,atipico
2021T4,19.98621153877218,26.02393907280942,14.654773574819243,7.7089076014338636,40505,23548,6.037727534037238,-6.94586597338538,pre
2022T1,20.45648154945538,26.20243820563088,12.200978067359262,5.858902567974482,41448,24367,5.745956656175501,-6.34207549938478,pre
2022T2,19.624444737941175,25.37464840620999,12.407520896751086,5.524031995851541,44294,26725,5.750203668268814,-6.883488900899545,pre
2022T3,19.19443217071897,24.199708260707236,11.861830241019595,5.352724700468631,44000,27231,5.005276089988268,-6.509105540550964,excluido
2022T4,18.540193121748985,23.76465049222915,12.310798937751375,6.62056483580457,42668,26712,5.224457370480167,-5.690234101946805,excluido
2023T1,18.340873813246233,23.530235471294542,11.642873921543808,5.452611707050498,41601,26021,5.189361658048309,-6.19026221449331,pos
2023T2,18.46615041170785,23.36557332436522,11.602310294853655,5.365521089783947,42228,27278,4.899422912657368,-6.236789205069709,pos
2023T3,18.85216048382913,24.265575101880653,12.128273579960467,5.4092977626042575,43656,28042,5.413414618051522,-6.71897581735621,pos
2023T4,19.34535920626429,25.44539565002475,12.895134198839713,6.478263274136631,44442,28962,6.100036443760459,-6.416870924703082,pos
2024T1,19.667509809523832,26.352505261098614,11.417873662382696,5.005504315079932,44689,29023,6.684995451574782,-6.412369347302764,pos
2024T2,19.733562133991356,25.11306147258485,10.817773555742242,4.906370233388833,45595,29957,5.379499338593494,-5.91140332235341,pos
2024T3,20.194072123260415,24.987287756326502,10.985354148929906,5.224065413994137,45387,29237,4.793215633066087,-5.761288734935769,pos
2024T4,19.997296820026484,26.187875960130455,12.268159665205113,6.492635556749826,45286,29382,6.190579140103971,-5.775524108455287,pos
2025T1,20.421406713693155,26.335298844918427,10.667233868601414,5.007580843621533,44673,29536,5.913892131225271,-5.659653024979881,pos
2025T2,19.77375905614563,26.56408511958188,10.949802234815118,5.209917874278978,45848,30515,6.79032606343625,-5.7398843605361405,pos
2025T3,19.83846161838366,25.689720336369575,11.148217962390133,5.040101687427107,47115,31759,5.851258717985914,-6.108116274963026,pos
