cod_origem,peso,n,pct_peso_ocupados
0412,6323226.51423364,12247,0.3965926954770305
0210,4826856.20514837,9351,0.30274036661042036
0512,1204150.44024273,2335,0.075524301996889
0110,1179040.96274274,2236,0.07394943585199845
9510,830908.14978022,1542,0.052114549759270816
1111,754537.82711732,1972,0.04732460398536067
0411,713304.98204531,1450,0.044738480408657334
0511,308268.13683418,518,0.019334574056701612
9332,251765.58040434,646,0.01579073435628735
0000,226264.70029737,398,0.014191319444312534
5161,140500.61166253,225,0.0088121967748561
8159,115867.41465175,155,0.0072672029368635715
3413,95801.00816897,192,0.006008638149151235
9613,70928.41598535,130,0.00444862944862498
5168,59710.1060353,118,0.0037450171754014674
8155,56433.56418809,88,0.0035395125077917872
7133,44767.1248098,67,0.0028077935618959883
2659,35097.186108249996,81,0.002201295115871211
4213,3321.82122786,7,0.00020834458985208174
