periodo,fonte,alvo,peso,n,pct_da_origem,pct_do_total
pos,G0,Desocupado,42774.79299609,84,0.7105941660142051,0.006116993993034926
pos,G0,Fora da força,139969.6496021,310,2.3252389891260594,0.020016309743486376
pos,G0,G0,5478130.44005156,10967,91.00517521432072,0.7833980867638625
pos,G0,G1,13277.06865312,29,0.22056465656162405,0.0018986824601038095
pos,G0,G2,64011.95105469,103,1.0633954202608866,0.009154006195185482
pos,G0,G3,48109.42486473,100,0.7992154781976574,0.006879871117852488
pos,G0,G4,32314.28184334,75,0.5368194337939899,0.004621092332183042
pos,G0,G5,127510.60618648,243,2.1182637369941197,0.018234608690268533
pos,G0,G6,2809.89575147,12,0.04667925636215701,0.0004018281382300903
pos,G0,G7,22847.37341351,41,0.3795508784314235,0.003267280473802447
pos,G0,G8,28519.507301370002,57,0.4737789264767576,0.00407842195432115
pos,G0,G9,19306.23226177,37,0.3207238434604003,0.002760880848311276
pos,G1,Desocupado,199398.97456377,331,0.7995229274307886,0.028514979131176593
pos,G1,Fora da força,479318.93341131,970,1.9219079619261217,0.06854483285735366
pos,G1,G0,9900.09087171,28,0.03969603982616766,0.001415758958746699
pos,G1,G1,13882055.63555849,24252,55.662381337619216,1.9851984074230367
pos,G1,G2,2647123.7307953,4352,10.61407722455518,0.3785509835564882
pos,G1,G3,1883160.1562147,3267,7.550839838628563,0.26930064546521587
pos,G1,G4,1415975.513261,2688,5.67758630659702,0.20249107248032325
pos,G1,G5,2846519.20965549,5431,11.413586135388512,0.407065462785823
pos,G1,G6,176761.38781021,617,0.7087538065224641,0.025277699123743447
pos,G1,G7,734951.88584724,1329,2.946910256579276,0.10510153190707912
pos,G1,G8,344515.4211988,645,1.3813911465920021,0.04926730474589537
pos,G1,G9,320063.46620693,633,1.2833470183346949,0.04577056165664415
pos,G2,Desocupado,1097246.61007617,2017,1.1652705038385138,0.15691135953194188
pos,G2,Fora da força,2482628.86363623,5149,2.6365396440574123,0.3550274538367983
pos,G2,G0,73907.92601193,130,0.07848985395872193,0.010569176559053624
pos,G2,G1,2698433.0986120002,4530,2.86572268031509,0.3858884613731515
pos,G2,G2,76396474.95022266,141059,81.13268069295059,10.925050611051985
pos,G2,G3,4455378.03844499,7543,4.731589566077073,0.6371397449044103
pos,G2,G4,2473615.69786681,4610,2.6269677063354235,0.35373852928549043
pos,G2,G5,2712335.26231021,5038,2.880486709794236,0.38787653532689126
pos,G2,G6,96353.72044162,262,0.10232717725865437,0.013779029373720922
pos,G2,G7,936822.5916011,1533,0.9949009851545905,0.13396998007417976
pos,G2,G8,352632.63838011,587,0.3744941277754962,0.05042810448939786
pos,G2,G9,386565.21049217,759,0.4105303524841895,0.05528061984339779
pos,G3,Desocupado,999548.27286651,1730,1.5704441009904695,0.14294004371761126
pos,G3,Fora da força,2106194.84155166,4222,3.309156100050708,0.3011956409727179
pos,G3,G0,64468.82418993,122,0.10129044028710808,0.0092193411746931
pos,G3,G1,1912060.1986695,3266,3.0041407116114383,0.27343348571322423
pos,G3,G2,4536868.14650745,7713,7.1281177818669725,0.6487932086992064
pos,G3,G3,40577063.16847832,74033,63.75280836182765,5.802708424077451
pos,G3,G4,4282640.97124881,7633,6.72868778080116,0.6124375423125686
pos,G3,G5,3740702.72841955,6699,5.877219432892749,0.5349378574798329
pos,G3,G6,151922.44911052,375,0.23869353836150758,0.021725615567587956
pos,G3,G7,3102210.76268842,5285,4.874050333078622,0.44363054199299
pos,G3,G8,1166308.76108884,1991,1.8324504813886915,0.1667875677681615
pos,G3,G9,1007502.195381,1867,1.582940936842923,0.14407749156561483
pos,G4,Desocupado,1308324.42430879,2330,2.2200774281917903,0.18709646695822219
pos,G4,Fora da força,2350164.48740028,4660,3.9879612686828874,0.3360844330301168
pos,G4,G0,34884.05495718,74,0.05919426525661089,0.004988581818391866
pos,G4,G1,1442332.99891056,2727,2.4474747052966066,0.2062603153006123
pos,G4,G2,2579647.71945364,4717,4.37736815749743,0.3689016006573443
pos,G4,G3,4221711.80910318,7682,7.163763758879884,0.6037243892441355
pos,G4,G4,39138065.11421266,71886,66.41283563063442,5.596925021344525
pos,G4,G5,3797987.77459387,6997,6.444752367425149,0.5431298850454853
pos,G4,G6,70858.63810886,191,0.12023903256334997,0.010133114231696055
pos,G4,G7,1049359.58867406,1802,1.780643618346192,0.15006329314181777
pos,G4,G8,961654.39563132,1601,1.6318179021922947,0.13752104333947623
pos,G4,G9,1976486.2348063,3511,3.3538718650333803,0.28264670799766356
pos,G5,Desocupado,3860331.42983832,7248,2.5252549676421734,0.552045317194251
pos,G5,Fora da força,10755988.14855712,24264,7.0360830404610635,1.5381562430914149
pos,G5,G0,123703.02537011,231,0.08092094811178412,0.017690106955710532
pos,G5,G1,2825398.67630349,5357,1.8482485694768012,0.40404512845818086
pos,G5,G2,2822855.52674827,5185,1.846584955570975,0.4036814462644624
pos,G5,G3,3868967.94393337,6796,2.5309045862093935,0.5532803788074074
pos,G5,G4,3903748.27968689,7151,2.5536563154933005,0.5582541282981289
pos,G5,G5,110729929.30737868,214626,72.43453292346868,15.83489398731472
pos,G5,G6,615042.81357315,1944,0.40233330959183095,0.08795397785864582
pos,G5,G7,4270164.58506641,8135,2.7933493605600233,0.6106533611631823
pos,G5,G8,2120006.50908236,3837,1.386812781698952,0.3031707735543487
pos,G5,G9,6972840.52327915,14491,4.561318241715012,0.9971485682978739
pos,G6,Desocupado,475095.17527277,1457,1.3663460797895621,0.06794081583349937
pos,G6,Fora da força,3919168.78110083,16691,11.271301370333392,0.5604593315945489
pos,G6,G0,3212.38078499,17,0.009238620219290554,0.0004593853666789421
pos,G6,G1,187108.05190858,607,0.5381118700596557,0.026757320127250458
pos,G6,G2,98961.35057235,280,0.28460708599614526,0.014151932589107385
pos,G6,G3,153155.14278523,374,0.4404652790339619,0.02190189648621549
pos,G6,G4,76622.49158881,219,0.2203618273874727,0.010957372039718888
pos,G6,G5,661891.42042135,2101,1.9035612117505132,0.09465354614641498
pos,G6,G6,24500864.67374584,100361,70.46306117338908,3.50373740083709
pos,G6,G7,651227.00541654,2281,1.872890974725468,0.09312848528803472
pos,G6,G8,605061.62819925,1970,1.7401220360667347,0.0865266220095808
pos,G6,G9,3438849.98856764,12042,9.88993247124873,0.49177151424062543
pos,G7,Desocupado,2203861.69443952,4290,2.4350086712059813,0.3151624543828559
pos,G7,Fora da força,5306416.8888753,12391,5.8629682479831375,0.7588422517148444
pos,G7,G0,21861.59089044,41,0.02415449368664543,0.003126308996217291
pos,G7,G1,691014.9480522,1265,0.7634904652526205,0.09881834581219433
pos,G7,G2,912154.77961805,1502,1.0078240406173935,0.13044236843301002
pos,G7,G3,3171614.88742171,5307,3.504262437195232,0.4535556540589722
pos,G7,G4,1008418.76487323,1693,1.1141844530754996,0.14420856525844797
pos,G7,G5,4218117.89445201,8086,4.660525510777069,0.6032104427632095
pos,G7,G6,655580.72560688,2239,0.7243398056946763,0.09375108748868358
pos,G7,G7,63224732.85821145,119979,69.85591388645622,9.041430338196362
pos,G7,G8,4226120.41334605,7524,4.669367355502462,0.6043548401191117
pos,G7,G9,4867449.37397589,10214,5.377960632553059,0.6960678590480556
pos,G8,Desocupado,1259744.6505901199,2404,1.9335213924948096,0.18014933377052297
pos,G8,Fora da força,2600844.25364673,5920,3.9919105833213444,0.37193280345811863
pos,G8,G0,28245.53979066,57,0.04335271866581944,0.004039243328314637
pos,G8,G1,355157.59738013,630,0.5451142911540502,0.05078918534926768
pos,G8,G2,356113.99259124,610,0.5465822161017723,0.05092595430480329
pos,G8,G3,1131881.09003215,1952,1.7372697715464065,0.16186425096643658
pos,G8,G4,946502.24379058,1597,1.4527407086476871,0.13535421527791594
pos,G8,G5,1944513.81335985,3628,2.9845406006460853,0.27807450328942357
pos,G8,G6,526041.85111683,1781,0.8073963021041604,0.07522642701417065
pos,G8,G7,4175364.00052271,7409,6.408565110938591,0.5970964374337555
pos,G8,G8,48486675.52038342,91614,74.41986304581575,6.9338197131083765
pos,G8,G9,3341783.9632737,6757,5.129143258563533,0.47789062196593735
pos,G9,Desocupado,4113980.19359488,8728,3.7994994684307115,0.5883182680506454
pos,G9,Fora da força,10479543.16120717,28209,9.678466301902736,1.4986233264229734
pos,G9,G0,29386.45236489,51,0.02714009423606354,0.004202399123452696
pos,G9,G1,334269.20982691,661,0.3087170149791844,0.04780204894865642
pos,G9,G2,400291.74030932,775,0.36969265357436376,0.057243577336713924
pos,G9,G3,1105085.27929298,1966,1.0206103903420376,0.1580323256232798
pos,G9,G4,2016455.47100011,3677,1.862313654817167,0.28836249434234745
pos,G9,G5,6824150.49736268,14320,6.302499031859448,0.9758852042545132
pos,G9,G6,3426442.67152397,12128,3.16451866475506,0.48999721029875143
pos,G9,G7,5114755.19963656,10686,4.723773267656626,0.7314337403077765
pos,G9,G8,3498363.40939068,7072,3.230941640178995,0.5002822097269314
pos,G9,G9,70934175.49489833,158858,65.5118278172676,10.143916428604134
pre,G0,Desocupado,40537.43093806,83,1.0479694453168245,0.00998727567763963
pre,G0,Fora da força,95192.86940237,246,2.460916151744982,0.023452828836629625
pre,G0,G0,3502883.72766059,7484,90.55618553368241,0.8630114105730868
pre,G0,G1,9166.37306759,23,0.23696812247148016,0.0022583348937428678
pre,G0,G2,37194.79461117,83,0.9615559589086888,0.009163744691234679
pre,G0,G3,38190.16978211,78,0.9872882942253002,0.009408976961874748
pre,G0,G4,22869.46886791,52,0.5912191288297016,0.005634389868810591
pre,G0,G5,63589.13352601,141,1.643899661309404,0.015666562777421327
pre,G0,G6,2361.0492718299997,15,0.06103760002813316,0.0005816957172813134
pre,G0,G7,14379.436795489999,33,0.3717357033691479,0.0035426862542223656
pre,G0,G8,21355.79521311,49,0.5520877950548692,0.0052614635208245285
pre,G0,G9,20467.99997866,54,0.529136605059058,0.005042735901768085
