quartil,destino,pre,pos,n_pre,n_pos,dif_pp
Q1,desocupado,2.656642532234347,2.93515574056404,5376,7506,0.27851320832969284
Q1,fora_da_forca,3.3095429552824296,4.317339921809717,5376,7506,1.0077969665272875
Q1,mesmo_grupo,88.36411632517616,87.64605649551017,5376,7506,-0.7180598296659895
Q1,outro_grupo,5.669698187307058,5.101447842116082,5376,7506,-0.5682503451909762
Q2,desocupado,3.172479885295825,2.885197888796797,5378,8219,-0.2872819964990283
Q2,fora_da_forca,3.337003072789628,3.9175419758093515,5378,8219,0.5805389030197237
Q2,mesmo_grupo,88.16072227083332,87.72186616490403,5378,8219,-0.4388561059292897
Q2,outro_grupo,5.329794771081227,5.475393970489839,5378,8219,0.1455991994086121
Q3,desocupado,2.8575348207191817,2.91523675298585,4939,6835,0.05770193226666809
Q3,fora_da_forca,4.9185974130230985,4.119910287694943,4939,6835,-0.7986871253281551
Q3,mesmo_grupo,86.44097361389225,86.04138001785017,4939,6835,-0.3995935960420809
Q3,outro_grupo,5.782894152365469,6.9234729414690195,4939,6835,1.1405787891035502
Q4,desocupado,3.1870573375435445,2.8077439242520486,5114,7090,-0.3793134132914959
Q4,fora_da_forca,3.6914370462149986,3.9164683097887383,5114,7090,0.2250312635737397
Q4,mesmo_grupo,87.77951158282772,84.00044767614119,5114,7090,-3.779063906686531
Q4,outro_grupo,5.341994033413716,9.275340089818016,5114,7090,3.9333460564043
Todos,desocupado,2.969599679922009,2.8858232604615757,20807,29650,-0.08377641946043335
Todos,fora_da_forca,3.793145753090442,4.064306120932223,20807,29650,0.27116036784178066
Todos,mesmo_grupo,87.71009122610901,86.41419253519285,20807,29650,-1.295898690916161
Todos,outro_grupo,5.52716334087855,6.635678083413339,20807,29650,1.1085147425347888
