quartil,direcao,pre,pos,n_pre,n_pos,dif_pp,delta_aioe_medio_pre,delta_aioe_medio_pos
Q1,mais_exposta,81.44672621389401,81.51678328172622,308.0,380.0,0.07005706783220944,1.2653016388881009,1.3436590984452574
Q1,menos_exposta,0.0,0.0,308.0,380.0,0.0,1.2653016388881009,1.3436590984452574
Q1,mesmo_quartil,18.553273786105997,18.483216718273766,308.0,380.0,-0.07005706783223076,1.2653016388881009,1.3436590984452574
Q2,mais_exposta,45.280979669018556,56.513342097416356,280.0,442.0,11.2323624283978,0.5098883132180486,0.7832969795981899
Q2,menos_exposta,33.20967335687471,21.369334836104773,280.0,442.0,-11.840338520769937,0.5098883132180486,0.7832969795981899
Q2,mesmo_quartil,21.509346974106734,22.117323066478882,280.0,442.0,0.607976092372148,0.5098883132180486,0.7832969795981899
Q3,mais_exposta,24.80410401408543,27.380621954589046,280.0,472.0,2.576517940503617,-0.4612992646168714,-0.5676452637659373
Q3,menos_exposta,52.32554556200838,53.108215999284255,280.0,472.0,0.7826704372758755,-0.4612992646168714,-0.5676452637659373
Q3,mesmo_quartil,22.870350423906185,19.5111620461267,280.0,472.0,-3.3591883777794855,-0.4612992646168714,-0.5676452637659373
Q4,mais_exposta,0.0,0.0,277.0,642.0,0.0,-1.4701312911228297,-1.4912282280324953
Q4,menos_exposta,79.48033025369222,81.32265873579603,277.0,642.0,1.8423284821038095,-1.4701312911228297,-1.4912282280324953
Q4,mesmo_quartil,20.51966974630779,18.677341264203964,277.0,642.0,-1.8423284821038273,-1.4701312911228297,-1.4912282280324953
Todos,mais_exposta,38.831665360825674,35.21298389991023,1145.0,1936.0,-3.6186814609154467,-0.007345040658282998,-0.20295575349722247
Todos,menos_exposta,40.33237012685422,45.16422681691949,1145.0,1936.0,4.8318566900652655,-0.007345040658282998,-0.20295575349722247
Todos,mesmo_quartil,20.835964512320107,19.62278928317028,1145.0,1936.0,-1.213175229149826,-0.007345040658282998,-0.20295575349722247
