cod,aioe
1017,0.5476
1023,1.1317
1032,1.4667
1045,0.9326
2012,1.1983
2023,1.5845
2036,1.3113
2047,1.4641
2057,1.3126
2061,1.3032
2073,1.4764
3013,0.6963
3026,0.4767
3038,0.9402
3048,0.4731
3055,0.5919
3066,1.2101
3072,0.4345
4014,1.2549
4025,1.2759
4031,1.1197
4042,1.54
4053,0.8571
4067,1.6216
4071,0.7507
5016,-0.2571
5027,-0.131
5034,-0.2777
5044,-0.6119
5057,-0.4191
5066,0.3166
5076,-0.4375
6016,-1.0564
6023,-1.6026
6034,-1.2312
6045,-0.9473
6051,-0.9864
6065,-1.3361
6077,-0.2514
7016,-0.8986
7027,-1.068
7035,0.0205
7045,-0.4463
7056,-0.8147
7062,-1.0436
7076,-0.9166
8014,-0.8155
8027,-0.6197
8033,-0.3256
8041,-0.6394
8056,-0.5043
8061,-0.9042
8071,-1.0042
9013,-1.3464
9022,-1.1345
9037,-0.5251
9044,-0.7651
9057,-1.0946
9068,-0.8876
9076,-1.2573
